index,db
1087,3
1088,3
1089,3
1090,3
1093,3
1096,3
1099,3
1100,3
1102,3
1106,3
1110,3
1114,3
1116,3
1118,3
1122,3
1124,3
1125,3
1134,3
1135,3
1137,3
1141,3
1151,3
1158,3
1175,3
1177,3
1181,3
1182,3
1185,3
1186,3
1187,3
1190,3
1192,3
1199,3
1205,3
1209,3
1210,3
1211,3
1215,3
1218,3
1219,3
1222,3
1223,3
1236,3
1249,3
1257,3
1260,3
1261,3
1262,3
1265,3
1277,3
1281,3
1288,3
1289,3
1292,3
1294,3
1295,3
1297,3
1304,3
1305,3
1310,3
1314,3
1315,3
1316,3
1317,3
1326,3
1338,3
1339,3
1340,3
1345,3
1346,3
1347,3
1351,3
1356,3
1359,3
1360,3
1362,3
1367,3
1377,3
1379,3
1380,3
1382,3
1383,3
1385,3
1395,3
1398,3
1404,3
1411,3
1413,3
1419,3
1422,3
1424,3
1425,3
1426,3
1427,3
1432,3
1435,3
13,4
16,4
19,4
25,4
27,4
29,4
32,4
43,4
47,4
54,4
55,4
56,4
57,4
64,4
65,4
66,4
67,4
70,4
73,4
75,4
77,4
84,4
91,4
96,4
97,4
98,4
102,4
104,4
113,4
115,4
123,4
125,4
132,4
136,4
138,4
139,4
151,4
153,4
155,4
161,4
164,4
165,4
167,4
170,4
173,4
175,4
176,4
178,4
179,4
182,4
183,4
186,4
190,4
193,4
195,4
199,4
200,4
207,4
208,4
211,4
218,4
221,4
222,4
227,4
228,4
234,4
235,4
238,4
241,4
247,4
250,4
251,4
252,4
258,4
262,4
263,4
264,4
265,4
268,4
273,4
275,4
277,4
279,4
280,4
281,4
284,4
288,4
290,4
296,4
297,4
298,4
299,4
304,4
306,4
310,4
314,4
317,4
318,4
324,4
330,4
333,4
334,4
338,4
341,4
344,4
351,4
352,4
353,4
355,4
364,4
369,4
370,4
371,4
372,4
374,4
380,4
386,4
387,4
389,4
390,4
391,4
393,4
395,4
398,4
400,4
402,4
405,4
407,4
413,4
415,4
423,4
424,4
426,4
427,4
428,4
429,4
434,4
436,4
438,4
444,4
445,4
450,4
455,4
456,4
458,4
459,4
462,4
465,4
466,4
477,4
478,4
481,4
483,4
486,4
488,4
490,4
491,4
496,4
497,4
498,4
501,4
504,4
507,4
508,4
509,4
511,4
514,4
517,4
519,4
3,5
7,5
8,5
10,5
14,5
16,5
17,5
18,5
20,5
21,5
